signal_date,market,stock_id,stock_name,industry,score,reasons,status,entry_date,entry_price,stop_price,return_1d,return_3d,return_5d,stop_hit_10d
2026-09-03,TWSE,2449,京元電子,未分類,8,20 日漲幅未過熱｜接近 20 日高點｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,265.0,0.0,-1.83,0.62,1.75,False
2026-09-03,TWSE,6438,迅得,未分類,8,20 日漲幅未過熱｜接近 20 日高點｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,156.5,0.0,-0.7,-3.26,-4.21,False
2026-09-03,TWSE,1560,中砂,未分類,8,20 日漲幅未過熱｜接近 20 日高點｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,728.0,0.0,-5.23,-2.21,-0.01,False
2026-09-03,TWSE,1402,遠東新,未分類,8,20 日漲幅未過熱｜接近 20 日高點｜量縮整理｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,29.2,0.0,-0.87,-2.58,-2.58,False
2026-09-03,TWSE,3035,智原,未分類,8,20 日漲幅未過熱｜接近 20 日高點｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,183.5,0.0,-2.88,-5.33,-3.15,False
2026-09-03,TWSE,9105,泰金寶-DR,未分類,8,20 日漲幅未過熱｜接近 20 日高點｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,8.6,0.0,-0.12,0.23,-0.35,False
2026-09-03,TWSE,6177,達麗,未分類,8,20 日漲幅未過熱｜量縮整理｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,49.35,0.0,-1.0,-3.94,-4.45,False
2026-09-03,TWSE,3703,欣陸,未分類,8,20 日漲幅未過熱｜接近 20 日高點｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,20.0,0.0,-0.7,-1.45,-1.2,False
2026-09-03,TWSE,6491,晶碩,未分類,8,20 日漲幅未過熱｜接近 20 日高點｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,388.0,0.0,-1.47,-3.79,-6.24,False
2026-09-04,TWSE,6177,達麗,建材營造,8,多頭均線排列｜KD 加速且 K < 80｜5 日漲幅 1%～8%｜5 日相對強勢｜量比 1.2～2.5｜突破 10 日高點｜前日收斂、今日帶寬回升｜距 20 日高點不超過 5%,skipped_no_trigger,,,,,,,
